title,Cant_Inscriptos,course_type,institution,Level,subject,language,Duracion_Curso,Precio
AI Applications with Watson,"9,173",Self-paced on your time,IBM,Intermediate,Computer Science,English,3 Weeks,FREE-Add a Verified Certificate for $99 USD
Data Analytics and Visualization in Health Care,"7,304",Self-paced on your time,Rochester Institute of Technology,Advanced,Data Analysis & Statistics,English,8 Weeks,FREE-Add a Verified Certificate for $249 USD
Question Everything: Scientific Thinking in Real Life,"34,279",Self-paced on your time,The University of Queensland,Introductory,Math,English,8 Weeks,FREE-Add a Verified Certificate for $59 USD
Introduction to Lifestyle Medicine,"9,002",Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,8 Weeks,FREE-Add a Verified Certificate for $79 USD
"Social Work Practice with Individuals, Families, and Small Groups","16,134",Self-paced on your time,The University of Michigan,Advanced,Social Sciences,English,8 Weeks,FREE-Add a Verified Certificate for $199 USD
Gateway to Medicine: An Introduction to the Field of Medicine|走近医学,"6,938",Self-paced on your time,Tsinghua University,Introductory,Medicine,中文,10 Weeks,FREE-Add a Verified Certificate for $49 USD
Indian & Tibetan River of Buddhism,"6,738",Self-paced on your time,Columbia University,Intermediate,Humanities,English,12 Weeks,FREE-Add a Verified Certificate for $49.99 USD
Compostaje Orgánico en Casa,,Instructor-led on a course schedule,Universidad Nacional de Córdoba,Introductory,Environmental Studies,Español,5 Weeks,FREE-Add a Verified Certificate for $29 USD
Financial Analysis for Decision Making,"39,156",Self-paced on your time,Babson College,Introductory,Business & Management,English,4 Weeks,FREE-Add a Verified Certificate for $199 USD
Lifestyle Medicine Treatments of Chronic Disease – Part 1,"5,668",Self-paced on your time,Doane University,Intermediate,Medicine,English,2 Weeks,FREE-Add a Verified Certificate for $179 USD
Building Containerized Applications on AWS,"6,128",Self-paced on your time,Amazon Web Services,Intermediate,Computer Science,English,5 Weeks,FREE-Add a Verified Certificate for $99 USD
Effective Communication for Program and Project Stakeholders and Teams,,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,5 Weeks,FREE-Add a Verified Certificate for $199 USD
Biobased Products for a Sustainable (Bio)economy,"6,951",Self-paced on your time,DelftXRWTHx-Delft University of Technology-RWTH Aachen University,Introductory,Biology & Life Sciences,English,10 Weeks,FREE-Add a Verified Certificate for $50 USD
Social Work Practice: Advocating Social Justice and Change,"19,603",Self-paced on your time,The University of Michigan,Introductory,Social Sciences,English,5 Weeks,FREE-Add a Verified Certificate for $49 USD
Anthropology of Current World Issues,"44,821",Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,English,9 Weeks,FREE-Add a Verified Certificate for $99 USD
Buyer Behaviour and Analysis,"19,717",Instructor-led on a course schedule,Curtin University,Advanced,Communication,English,12 Weeks,FREE-Add a Verified Certificate for $199 USD
Idea Development: Create and Implement Innovative Ideas,"11,501",Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,10 Weeks,FREE-Add a Verified Certificate for $249 USD
Analysis of Transport Phenomena I: Mathematical Methods,"9,169",Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Engineering,English,17 Weeks,FREE-Add a Verified Certificate for $149 USD
Leading the Organization,"14,998",Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,10 Weeks,FREE-Add a Verified Certificate for $249 USD
